"","Enzyme.ID","Gene.composition","genes","stoich","nUnknown","nGenes"
"1","1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER","b3018(1)","b3018","1","0",1
"2","1-PFK","b2168(2)","b2168","2","0",1
"3","2-DEHYDROPANTOATE-REDUCT-MONOMER","b0425(1)","b0425","1","0",1
"4","2-ISOPROPYLMALATESYN-MONOMER","b0074(1)","b0074","1","0",1
"5","2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER","b3833(1)","b3833","1","0",1
"6","2-OCTAPRENYLPHENOL-HYDROX-MONOMER","b3835(1)","b3835","1","0",1
"7","2OXOGLUTARATEDEH-CPLX","b0726(12) AND b0116(2) AND b0727(24)","b0116,b0726,b0727","2,12,24","0",3
"8","3-ISOPROPYLMALDEHYDROG-CPLX","b0073(2)","b0073","2","0",1
"9","3-ISOPROPYLMALISOM-CPLX","b0071(1) AND b0072(1)","b0071,b0072","1,1","0",2
"10","3-METHYL-2-OXOBUT-OHCH3XFER-CPLX","b0134(10)","b0134","10","0",1
"11","3-OXOACYL-ACP-REDUCT-MONOMER","b1093(1)","b1093","1","0",1
"12","3-OXOACYL-ACP-SYNTHII-CPLX","b1095(2)","b1095","2","0",1
"13","4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER","b4040(1)","b4040","1","0",1
"14","6PFK-1-CPX","b3916(4)","b3916","4","0",1
"15","6PFK-2-CPX","b1723(2)","b1723","2","0",1
"16","6PGLUCONDEHYDROG-CPLX","b2029(2)","b2029","2","0",1
"17","6PGLUCONOLACT-MONOMER","b0767(1)","b0767","1","0",1
"18","7KAPSYN-CPLX","b0776(2)","b0776","2","0",1
"19","AAS-MONOMER","b2836(1)","b2836","1","0",1
"20","ABC-10-CPLX","b0592(1) AND b0589(1) AND b0590(1) AND b0588(2)","b0588,b0589,b0590,b0592","2,1,1,1","0",4
"21","ABC-11-CPLX","b0152(1) AND b0151(2) AND b0153(2)","b0151,b0152,b0153","2,1,2","0",3
"22","ABC-12-CPLX","b0809(2) AND b0811(1) AND b0810(2)","b0809,b0810,b0811","2,2,1","0",3
"23","ABC-13-CPLX","b0655() AND b0654() AND b0653() AND b0652()","b0652,b0653,b0654,b0655","1,1,1,1","4",4
"24","ABC-14-CPLX","b2309(1) AND b2308(1) AND b2307(1) AND b2306(2)","b2306,b2307,b2308,b2309","2,1,1,1","0",4
"25","ABC-15-CPLX","b3460(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1)","b3454,b3455,b3456,b3457,b3460","1,1,1,1,1","0",5
"26","ABC-16-CPLX","b4034(1) AND b4035(2) AND b4033(1) AND b4032(1)","b4032,b4033,b4034,b4035","1,1,1,2","0",4
"27","ABC-18-CPLX","b2150(1) AND b2148(2) AND b2149(2)","b2148,b2149,b2150","2,2,1","0",3
"28","ABC-19-CPLX","b0764(2) AND b0765(2) AND b0763(1)","b0763,b0764,b0765","1,2,2","0",3
"29","ABC-2-CPLX","b1900(2) AND b1901(1) AND b4460(2)","b1900,b1901,b4460","2,1,2","0",3
"30","ABC-20-CPLX","b3476(1) AND b3477(1) AND b3478(1) AND b3479(1) AND b3480(1)","b3476,b3477,b3478,b3479,b3480","1,1,1,1,1","0",5
"31","ABC-22-CPLX","b1245(1) AND b1244(1) AND b1247(1) AND b1246(1) AND b1243(1)","b1243,b1244,b1245,b1246,b1247","1,1,1,1,1","0",5
"32","ABC-24-CPLX","b1124(1) AND b1125(1) AND b1126(2) AND b1123(1)","b1123,b1124,b1125,b1126","1,1,1,2","0",4
"33","ABC-25-CPLX","b0857(1) AND b0856(1) AND b0854(1) AND b0855(2)","b0854,b0855,b0856,b0857","1,2,1,1","0",4
"34","ABC-26-CPLX","b2678(2) AND b2677(2) AND b2679(1)","b2677,b2678,b2679","2,2,1","0",3
"35","ABC-27-CPLX","b3725(2) AND b3728(1) AND b3726(1) AND b3727(1)","b3725,b3726,b3727,b3728","2,1,1,1","0",4
"36","ABC-28-CPLX_EG10817-MONOMER","b3751() AND b3750() AND b3748() AND b3749()","b3748,b3749,b3750,b3751","1,1,1,1","4",4
"37","ABC-3-CPLX","b2308(1) AND b2310(1) AND b2307(1) AND b2306(2)","b2306,b2307,b2308,b2310","2,1,1,1","0",4
"38","ABC-304-CPLX","b3458(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1)","b3454,b3455,b3456,b3457,b3458","1,1,1,1,1","0",5
"39","ABC-32-CPLX","b0067(2) AND b0066(2) AND b0068(1)","b0066,b0067,b0068","2,2,1","0",3
"40","ABC-33-CPLX","b3566(1) AND b3567(2) AND b3568(2)","b3566,b3567,b3568","1,2,2","0",3
"41","ABC-34-CPLX","b3452(1) AND b3453(1) AND b3451(1) AND b3450(2)","b3450,b3451,b3452,b3453","2,1,1,1","0",4
"42","ABC-35-CPLX","b2200(1) AND b2201(2) AND b2197(1) AND b2198(1) AND b2199(1)","b2197,b2198,b2199,b2200,b2201","1,1,1,1,2","0",5
"43","ABC-4-CPLX","b0864(2) AND b0862(1) AND b0863(1) AND b0860(1) AND b0861(1)","b0860,b0861,b0862,b0863,b0864","1,1,1,1,2","0",5
"44","ABC-40-CPLX","b2128(1) AND b2130(1) AND b2131(1) AND b2129(2)","b2128,b2129,b2130,b2131","1,2,1,1","0",4
"45","ABC-42-CPLX","b4088(1) AND b4087(2) AND b4086(2)","b4086,b4087,b4088","2,2,1","0",3
"46","ABC-46-CPLX","b4485(1) AND b4231(1) AND b4227(1) AND b4230(2)","b4227,b4230,b4231,b4485","1,2,1,1","0",4
"47","ABC-49-CPLX","b0831(1) AND b0830(1) AND b0829(2) AND b0832(1)","b0829,b0830,b0831,b0832","2,1,1,1","0",4
"48","ABC-5-CPLX","b1709(2) AND b0158(1) AND b1711(2)","b0158,b1709,b1711","1,2,2","0",3
"49","ABC-51-CPLX","b1443(1) AND b1442(1) AND b1440(1) AND b1441(2)","b1440,b1441,b1442,b1443","1,2,1,1","0",4
"50","ABC-53-CPLX","b4261() AND b4262() AND b3201(2) AND b3199() AND b3200()","b3199,b3200,b3201,b4261,b4262","1,1,2,1,1","4",5
"51","ABC-56-CPLX","b0934(2) AND b0933(2) AND b0936()","b0933,b0934,b0936","2,2,1","1",3
"52","ABC-59-CPLX","b1487(1) AND b1486(1) AND b1485(1) AND b1484(1) AND b1483(1)","b1483,b1484,b1485,b1486,b1487","1,1,1,1,1","0",5
"53","ABC-6-CPLX","b0887(2) AND b0886(2)","b0886,b0887","2,2","0",2
"54","ABC-63-CPLX","b1859(2) AND b1858(2) AND b1857(1)","b1857,b1858,b1859","1,2,2","0",3
"55","ABC-64-CPLX","b0365(1) AND b0366(2) AND b0367(2)","b0365,b0366,b0367","1,2,2","0",3
"56","ABC-7-CPLX","b2422(2) AND b2423(1) AND b2424(1) AND b2425(1)","b2422,b2423,b2424,b2425","2,1,1,1","0",4
"57","ABC-70-CPLX","b3917(1) AND b2422(2) AND b2423(1) AND b2424(1)","b2422,b2423,b2424,b3917","2,1,1,1","0",4
"58","ABC-8-CPLX","b3540(1) AND b3541(1) AND b3542(1) AND b3543(1) AND b3544(1)","b3540,b3541,b3542,b3543,b3544","1,1,1,1,1","0",5
"59","ABC-9-CPLX","b4287(2) AND b4290(1) AND b4288(1) AND b4289(1)","b4287,b4288,b4289,b4290","2,1,1,1","0",4
"60","ACETATEKINA-MONOMER","b2296(1)","b2296","1","0",1
"61","ACETOACETYL-COA-TRANSFER-CPLX","b2222(2) AND b2221(2)","b2221,b2222","2,2","0",2
"62","ACETOLACTSYNI-CPLX","b3671(2) AND b3670(2)","b3670,b3671","2,2","0",2
"63","ACETOLACTSYNIII-CPLX","b0078(2) AND b0077(2)","b0077,b0078","2,2","0",2
"64","ACETYL-COA-ACETYLTRANSFER-CPLX","b2224(4)","b2224","4","0",1
"65","ACETYL-COA-CARBOXYLMULTI-CPLX","b3255(2) AND b2316(2) AND b0185(2) AND b3256(2)","b0185,b2316,b3255,b3256","2,2,2,2","0",4
