"","Enzyme.ID","Gene.composition","genes","stoich","nUnknown","nGenes"
"66","ACETYLGLUTKIN-CPLX","b3959(2)","b3959","2","0",1
"67","ACETYLORNDEACET-CPLX","b3957(2)","b3957","2","0",1
"68","ACETYLORNTRANSAM-CPLX","b3359(2)","b3359","2","0",1
"69","ACNEULY-CPLX","b3225(4)","b3225","4","0",1
"70","ACS-MONOMER","b4069(1)","b4069","1","0",1
"71","ACSERLYA-CPLX","b2414(2)","b2414","2","0",1
"72","ACSERLYB-CPLX","b2421(2)","b2421","2","0",1
"73","ACYLCOADEHYDROG-MONOMER","b0221(1)","b0221","1","0",1
"74","ACYLCOASYN-CPLX","b1805(2)","b1805","2","0",1
"75","ADCLY-CPLX","b1096(2)","b1096","2","0",1
"76","ADENODEAMIN-MONOMER","b1623(1)","b1623","1","0",1
"77","ADENPRIBOSYLTRAN-CPLX","b0469(2)","b0469","2","0",1
"78","ADENYL-KIN-MONOMER","b0474(1)","b0474","1","0",1
"79","ADENYLATECYC-MONOMER","b3806(1)","b3806","1","0",1
"80","ADENYLOSUCCINATE-SYN-DIMER","b4177(2)","b4177","2","0",1
"81","ADENYLYLSULFKIN-CPLX","b2750(2)","b2750","2","0",1
"82","ADHC-CPLX","b0356(2)","b0356","2","0",1
"83","ADHE-CPLX","b1241(40)","b1241","40","0",1
"84","ADHP-MONOMER","b1478(1)","b1478","1","0",1
"85","AERGLYC3PDEHYDROG-CPLX","b3426(2)","b3426","2","0",1
"86","AGMATIN-CPLX","b2937(2)","b2937","2","0",1
"87","AICARTRANSIMPCYCLO-CPLX","b4006(1)","b4006","1","0",1
"88","AIRS-CPLX","b2499(2)","b2499","2","0",1
"89","AKBLIG-CPLX","b3617(2)","b3617","2","0",1
"90","Ala_RS_tetra","b2697(4)","b2697","4","0",1
"91","ALARACEBIOSYN-MONOMER","b4053(1)","b4053","1","0",1
"92","ALD-CPLX","b1415(4)","b1415","4","0",1
"93","ALDHDEHYDROG-MONOMER","b1300(1)","b1300","1","0",1
"94","ALDOSE1EPIM-MONOMER","b0756(1)","b0756","1","0",1
"95","ALKAPHOSPHA-CPLX","b0383(2)","b0383","2","0",1
"96","ALPHA-AMYL-CYTO-MONOMER","b1927(1)","b1927","1","0",1
"97","ALPHA-AMYL-PERI-MONOMER","b3571(1)","b3571","1","0",1
"98","ALPHAGALACTOSID-CPLX","b4119(2)","b4119","2","0",1
"99","ALTRO-OXIDOREDUCT-MONOMER","b1521(1)","b1521","1","0",1
"100","ALTRODEHYDRAT-MONOMER","b3091(1)","b3091","1","0",1
"101","AMINEOXID-CPLX","b1386(2)","b1386","2","0",1
"102","AMP-NUCLEOSID-CPLX","b1982(6)","b1982","6","0",1
"103","AMPG-MONOMER","b0433(1)","b0433","1","0",1
"104","AMYLOMALT-MONOMER","b3416(1)","b3416","1","0",1
"105","ANGLYC3PDEHYDROG-CPLX","b2241(1) AND b2242(1) AND b2243(1)","b2241,b2242,b2243","1,1,1","0",3
"106","ANSA-CPLX","b1767(2)","b1767","2","0",1
"107","ANSB-CPLX","b2957(4)","b2957","4","0",1
"108","ANSP-MONOMER","b1453(1)","b1453","1","0",1
"109","ANTHRANSYN-CPLX","b1263(2) AND b1264(2)","b1263,b1264","2,2","0",2
"110","ANTHRANSYNCOMPII-MONOMER","b1263(1)","b1263","1","0",1
"111","APHA-CPLX","b4055(4)","b4055","4","0",1
"112","APO-ENTB","b0595(5)","b0595","5","0",1
"113","APP-UBIOX-CPLX","b0978(1) AND b0979(1)","b0978,b0979","1,1","0",2
"114","ARABISOM-CPLX","b0062(6)","b0062","6","0",1
"115","ARAE-MONOMER","b2841(1)","b2841","1","0",1
"116","ARCD-MONOMER","b1605(1)","b1605","1","0",1
"117","ARGDECARBOXBIO-CPLX","b2938(4)","b2938","4","0",1
"118","ARGDECARBOXDEG-CPLX","b4117(10)","b4117","10","0",1
"119","ArgS_mono","b1876(1)","b1876","1","0",1
"120","ARGSUCCINLYA-MONOMER","b3960(1)","b3960","1","0",1
"121","ARGSUCCTRAN-MONOMER","b1747(1)","b1747","1","0",1
"122","AROA-MONOMER","b0908(1)","b0908","1","0",1
"123","AROB-MONOMER","b3389(1)","b3389","1","0",1
"124","AROC-CPLX","b2329(4)","b2329","4","0",1
"125","AROD-CPLX","b1693(2)","b1693","2","0",1
"126","AROE-MONOMER","b3281(1)","b3281","1","0",1
"127","AROF-CPLX","b2601(2)","b2601","2","0",1
"128","AROG-CPLX","b0754(4)","b0754","4","0",1
"129","AROH-CPLX","b1704(2)","b1704","2","0",1
"130","AROK-MONOMER","b3390(1)","b3390","1","0",1
"131","AROL-MONOMER","b0388(1)","b0388","1","0",1
"132","AROP-MONOMER","b0112(1)","b0112","1","0",1
"133","ASL-MONOMER","b1131(1)","b1131","1","0",1
"134","Asn_RS_dim","b0930(2)","b0930","2","0",1
"135","ASNSYNA-CPLX","b3744(2)","b3744","2","0",1
"136","ASNSYNB-CPLX","b0674(2)","b0674","2","0",1
"137","Asp_RS_dim","b1866(2)","b1866","2","0",1
"138","ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX","b3433(2)","b3433","2","0",1
"139","ASPAMINOTRANS-DIMER","b0928(2)","b0928","2","0",1
"140","ASPARTASE-CPLX","b4139(4)","b4139","4","0",1
"141","ASPCARBCAT-TRIMER","b4245(3)","b4245","3","0",1
"142","ASPCARBTRANS-CPLX","b4245(6) AND b4244(6)","b4244,b4245","6,6","0",2
"143","ASPKINIHOMOSERDEHYDROGI-CPLX","b0002(4)","b0002","4","0",1
"144","ASPKINIIHOMOSERDEHYDROGII-CPLX","b3940(2)","b3940","2","0",1
"145","ASPKINIII-CPLX","b4024(2)","b4024","2","0",1
"146","ATPASE-1-CPLX","b0698() AND b4513() AND b0697() AND b0696()","b0696,b0697,b0698,b4513","1,1,1,1","4",4
"147","ATPASE-1-CPLX_no_MONOMER0-12","b0698() AND b0697() AND b0696()","b0696,b0697,b0698","1,1,1","3",3
"148","ATPSYN-CPLX","b3733(1) AND b3738(1) AND b3732(3) AND b3736(2) AND b3731(1) AND b3735(1) AND b3737(10) AND b3734(3)","b3731,b3732,b3733,b3734,b3735,b3736,b3737,b3738","1,3,1,3,1,2,10,1","0",8
"149","ATPSYN-CPLX_EG10106-MONOMER","b3736() AND b3731() AND b3735() AND b3739() AND b3734() AND b3733() AND b3738() AND b3737() AND b3732()","b3731,b3732,b3733,b3734,b3735,b3736,b3737,b3738,b3739","1,1,1,1,1,1,1,1,1","9",9
"150","B0070-MONOMER","b0070(1)","b0070","1","0",1
"151","B0260-MONOMER","b0260(1)","b0260","1","0",1
"152","B0511-MONOMER","b0511(1)","b0511","1","0",1
"153","B0612-MONOMER","b0612(1)","b0612","1","0",1
"154","B0709-MONOMER","b0709(1)","b0709","1","0",1
"155","B0752-MONOMER","b0752(1)","b0752","1","0",1
"156","B1006-MONOMER","b1006(1)","b1006","1","0",1
"157","B1296-MONOMER","b1296(1)","b1296","1","0",1
"158","B1634-MONOMER","b1634(1)","b1634","1","0",1
"159","B2170-MONOMER","b2170(1)","b2170","1","0",1
"160","B2789-MONOMER","b2789(1)","b2789","1","0",1
"161","B2975-MONOMER","b2975(1)","b2975","1","0",1
"162","BADH-CPLX","b0312(4)","b0312","4","0",1
"163","BETAGALACTOSID-CPLX","b0344(4)","b0344","4","0",1
"164","BETT-MONOMER","b0314(1)","b0314","1","0",1
"165","BIOTIN-SYN-CPLX","b0775(2)","b0775","2","0",1
"166","BRANCHED-CHAINAMINOTRANSFER-CPLX","b3770(6)","b3770","6","0",1
"167","BRNQ-MONOMER","b0401(1)","b0401","1","0",1
"168","BTUE-MONOMER","b1710(1)","b1710","1","0",1
"169","CADB-MONOMER","b4132(1)","b4132","1","0",1
"170","CAIC-MONOMER","b0037(1)","b0037","1","0",1
"171","CARBODEHYDRAT-CPLX","b0339(2)","b0339","2","0",1
"172","CARBPSYN-CPLX","b0032(2) AND b0033(2)","b0032,b0033","2,2","0",2
"173","CARDIOLIPSYN-MONOMER","b1249(1)","b1249","1","0",1
"174","CARNDEHYDRA-CPLX","b0038(2)","b0038","2","0",1
"175","CARNRACE-MONOMER","b0036(1)","b0036","1","0",1
"176","CDPDIGLYPYPHOSPHA-MONOMER","b3918(1)","b3918","1","0",1
"177","CDPDIGLYSYN-MONOMER","b0175(1)","b0175","1","0",1
"178","CFA-CPLX","b1661(2)","b1661","2","0",1
"179","CHAA-MONOMER","b1216(1)","b1216","1","0",1
"180","CHD-MONOMER","b0311(1)","b0311","1","0",1
"181","CHORISMUTPREPHENDEHYDRAT-CPLX","b2599(2)","b2599","2","0",1
"182","CHORISMUTPREPHENDEHYDROG-CPLX","b2600(2)","b2600","2","0",1
"183","CHORPYRLY-MONOMER","b4039(1)","b4039","1","0",1
"184","cisGroES_hepta","b4142(7)","b4142","7","0",1
"185","CITC-MONOMER","b0618(1)","b0618","1","0",1
"186","CITLY-CPLX","b0616(6) AND b0617(6) AND b0615(6)","b0615,b0616,b0617","6,6,6","0",3
"187","CITRATE-SI-SYNTHASE","b0720(6)","b0720","6","0",1
"188","CMPKI-MONOMER","b0910(1)","b0910","1","0",1
"189","CMR-MONOMER","b0842(1)","b0842","1","0",1
"190","COADTRI-CPLX","b3634(6)","b3634","6","0",1
"191","COBALADENOSYLTRANS-MONOMER","b1270(1)","b1270","1","0",1
"192","COBS-MONOMER","b1992(1)","b1992","1","0",1
"193","COBU-CPLX","b1993(2)","b1993","2","0",1
"194","CODB-MONOMER","b0336(1)","b0336","1","0",1
"195","CORA-MONOMER","b3816(1)","b3816","1","0",1
"196","CPDB-MONOMER","b4213(1)","b4213","1","0",1
"197","CPLX-153","b2415(1) AND b2715(2) AND b2416(2)","b2415,b2416,b2715","1,2,2","0",3
"198","CPLX-154","b2415(1) AND b2416(2) AND b3722(2)","b2415,b2416,b3722","1,2,2","0",3
"199","CPLX-157","b2415(1) AND b2417(1) AND b1101(2) AND b2416(2)","b1101,b2415,b2416,b2417","2,1,2,1","0",4
"200","CPLX-158","b2415(1) AND b2416(2) AND b2167(2) AND b2169(1)","b2167,b2169,b2415,b2416","2,1,1,2","0",4
"201","CPLX-163","b2415(1) AND b0731(2) AND b2416(2)","b0731,b2415,b2416","2,1,2","0",3
"202","CPLX-164","b2415(1) AND b2417(1) AND b2416(2) AND b1621(2)","b1621,b2415,b2416,b2417","2,1,2,1","0",4
"203","CPLX-165","b2415(1) AND b1818(2) AND b2416(2) AND b1817(1) AND b1819(1)","b1817,b1818,b1819,b2415,b2416","1,2,1,1,2","0",5
"204","CPLX-166","b2415(1) AND b2416(2) AND b3599(2)","b2415,b2416,b3599","1,2,2","0",3
"205","CPLX-167","b2415(1) AND b2416(2) AND b0679(2)","b0679,b2415,b2416","2,1,2","0",3
"206","CPLX-168","b2415(1) AND b2417(1) AND b2416(2) AND b4240(2)","b2415,b2416,b2417,b4240","1,2,1,2","0",4
"207","CPLX-169","b2415() AND b2704() AND b2416() AND b2703() AND b2702()","b2415,b2416,b2702,b2703,b2704","1,1,1,1,1","5",5
"208","CPLX-171","b0508(2)","b0508","2","0",1
"209","CPLX-63","b1872(1) AND b1873(1)","b1872,b1873","1,1","0",2
"210","CPLX-64","b0512(4)","b0512","4","0",1
"211","CPLX-7","b3502(2)","b3502","2","0",1
"212","CPLX-722","b0980(2)","b0980","2","0",1
"213","CPLX-7524","b0516(2)","b0516","2","0",1
"214","CPLX0-1","b2710(4)","b2710","4","0",1
"215","CPLX0-1021","b0331(4)","b0331","4","0",1
"216","CPLX0-1142","b2374(2)","b2374","2","0",1
"217","CPLX0-1221","b3397(2)","b3397","2","0",1
"218","CPLX0-1261","b2465()","b2465","1","1",1
"219","CPLX0-1262","b3197(4)","b3197","4","0",1
"220","CPLX0-1341","b1681(1) AND b1683(1) AND b1682(2)","b1681,b1682,b1683","1,2,1","0",3
"221","CPLX0-1401","b2871(2)","b2871","2","0",1
"222","CPLX0-1541","b0159(2)","b0159","2","0",1
"223","CPLX0-1581","b0622(2)","b0622","2","0",1
"224","CPLX0-1601","b1587(1) AND b1590(1) AND b1588(1) AND b1589(1)","b1587,b1588,b1589,b1590","1,1,1,1","0",4
"225","CPLX0-1622","b1489(2)","b1489","2","0",1
"226","CPLX0-1666","b2341()","b2341","1","1",1
"227","CPLX0-1667","b2342()","b2342","1","1",1
"228","CPLX0-1669","b1701(2)","b1701","2","0",1
"229","CPLX0-1683","b3665(2)","b3665","2","0",1
"230","CPLX0-1721","b0572(3) AND b0573(1) AND b0574(1) AND b0575(3)","b0572,b0573,b0574,b0575","3,1,1,3","0",4
"231","CPLX0-1762","b1388() AND b1389() AND b1392() AND b1390()","b1388,b1389,b1390,b1392","1,1,1,1","4",4
"232","CPLX0-1923_EG10155-MONOMER","b3005() AND b1252() AND b2155() AND b3006()","b1252,b2155,b3005,b3006","1,1,1,1","4",4
"233","CPLX0-1923_EG10306-MONOMER","b1102() AND b3005() AND b1252() AND b3006()","b1102,b1252,b3005,b3006","1,1,1,1","4",4
"234","CPLX0-1924","b3966() AND b1252() AND b3005() AND b3006()","b1252,b3005,b3006,b3966","1,1,1,1","4",4
"235","CPLX0-1941","b1252() AND b3005() AND b0584() AND b3006()","b0584,b1252,b3005,b3006","1,1,1,1","4",4
"236","CPLX0-1942","b1252() AND b0150() AND b3005() AND b3006()","b0150,b1252,b3005,b3006","1,1,1,1","4",4
"237","CPLX0-1943","b4291() AND b1252() AND b3005() AND b3006()","b1252,b3005,b3006,b4291","1,1,1,1","4",4
"238","CPLX0-1962","b1539(4)","b1539","4","0",1
"239","CPLX0-201","b0825(12)","b0825","12","0",1
"240","CPLX0-2061","b3575(2)","b3575","2","0",1
"241","CPLX0-2081","b1199(1) AND b1198(2) AND b1200(2)","b1198,b1199,b1200","2,1,2","0",3
"242","CPLX0-2141","b3265() AND b3035() AND b3266()","b3035,b3265,b3266","1,1,1","3",3
"243","CPLX0-224","b0937(2)","b0937","2","0",1
"244","CPLX0-225","b0935(4)","b0935","4","0",1
"245","CPLX0-227","b0368(2)","b0368","2","0",1
"246","CPLX0-231","b2415(1) AND b2416(2) AND b2093(1) AND b2092(2) AND b2094(1)","b2092,b2093,b2094,b2415,b2416","2,1,1,1,2","0",5
"247","CPLX0-234","b2747(2)","b2747","2","0",1
"248","CPLX0-235","b3553(2)","b3553","2","0",1
"249","CPLX0-236","b1463(2)","b1463","2","0",1
"250","CPLX0-237","b3607(6)","b3607","6","0",1
"251","CPLX0-238","b3172(4)","b3172","4","0",1
"252","CPLX0-240","b3137(1) AND b3132(1)","b3132,b3137","1,1","0",2
"253","CPLX0-241","b2095(1) AND b2096(1)","b2095,b2096","1,1","0",2
"254","CPLX0-242","b3425(2)","b3425","2","0",1
"255","CPLX0-243","b4226(6)","b4226","6","0",1
"256","CPLX0-246_CPLX0-1342","b1679(2) AND b1680(2)","b1679,b1680","2,2","0",2
"257","CPLX0-250_FORMATEDEHYDROGH-MONOMER","b2487() AND b2484() AND b2488() AND b2481() AND b2486() AND b2485() AND b2482() AND b2489() AND b4079() AND b2490() AND b2483()","b2481,b2482,b2483,b2484,b2485,b2486,b2487,b2488,b2489,b2490,b4079","1,1,1,1,1,1,1,1,1,1,1","11",11
"258","CPLX0-251","b0333(2)","b0333","2","0",1
"259","CPLX0-252","b1091(2)","b1091","2","0",1
"260","CPLX0-253","b3028(2)","b3028","2","0",1
"261","CPLX0-254","b2919(6)","b2919","6","0",1
"262","CPLX0-3001","b0237(2)","b0237","2","0",1
"263","CPLX0-301","b3843(6)","b3843","6","0",1
"264","CPLX0-303","b3925(2)","b3925","2","0",1
"265","CPLX0-3061","b4260(6)","b4260","6","0",1
"266","CPLX0-3141","b3029(2)","b3029","2","0",1
"267","CPLX0-3161","b2472(4)","b2472","4","0",1
"268","CPLX0-3181","b0166(2)","b0166","2","0",1
"269","CPLX0-3201","b2328(2)","b2328","2","0",1
"270","CPLX0-321","b2564(8)","b2564","8","0",1
"271","CPLX0-322","b0477(2)","b0477","2","0",1
"272","CPLX0-341","b3639(12)","b3639","12","0",1
"273","CPLX0-3482","b3588(4)","b3588","4","0",1
"274","CPLX0-3641","b1444(4)","b1444","4","0",1
"275","CPLX0-3661","b3052(2)","b3052","2","0",1
"276","CPLX0-3681","b3619(5)","b3619","5","0",1
"277","CPLX0-3721","b3034(2)","b3034","2","0",1
"278","CPLX0-3741","b1210(2)","b1210","2","0",1
"279","CPLX0-3841","b1208(2)","b1208","2","0",1
"280","CPLX0-3861","b4474(8)","b4474","8","0",1
"281","CPLX0-3881","b2052(2)","b2052","2","0",1
"282","CPLX0-3929","b2708(4)","b2708","4","0",1
"283","CPLX0-3932","b0463() AND b2470() AND b3035()","b0463,b2470,b3035","1,1,1","3",3
"284","CPLX0-3936","b3058(8)","b3058","8","0",1
"285","CPLX0-3943","b1298(2)","b1298","2","0",1
"286","CPLX0-3948","b4394(2)","b4394","2","0",1
"287","CPLX0-3951","b0149(2)","b0149","2","0",1
"288","CPLX0-3951_G6561-MONOMER","b1069() AND b0149(2)","b0149,b1069","2,1","1",2
"289","CPLX0-3952","b1662(3)","b1662","3","0",1
"290","CPLX0-3954","b2154(4)","b2154","4","0",1
"291","CPLX0-3970","b1245(1) AND b1244(1) AND b1247(1) AND b1246(1) AND b1329(1)","b1244,b1245,b1246,b1247,b1329","1,1,1,1,1","0",5
"292","CPLX0-3971","b2467(3)","b2467","3","0",1
"293","CPLX0-3976_edit","b3785() AND b3793()","b3785,b3793","1,1","2",2
"294","CPLX0-682","b2615(6)","b2615","6","0",1
"295","CPLX0-7","b2415() AND b2429() AND b2417() AND b2416()","b2415,b2416,b2417,b2429","1,1,1,1","4",4
"296","CPLX0-721","b2746(3)","b2746","3","0",1
"297","CPLX0-7415","b0182(2)","b0182","2","0",1
"298","CPLX0-7426","b3187(2)","b3187","2","0",1
"299","CPLX0-7428","b2751(4) AND b2752(4)","b2751,b2752","4,4","0",2
"300","CPLX0-743","b0420(2)","b0420","2","0",1
"301","CPLX0-7458","b4467() AND b4468() AND b2979()","b2979,b4467,b4468","1,1,1","3",3
"302","CPLX0-7462","b1692(2)","b1692","2","0",1
"303","CPLX0-7465","b1190(2)","b1190","2","0",1
"304","CPLX0-7466","b3564(2)","b3564","2","0",1
"305","CPLX0-7520","b0340(10)","b0340","10","0",1
"306","CPLX0-7521","b0126(4)","b0126","4","0",1
"307","CPLX0-7525","b2264(2)","b2264","2","0",1
"308","CPLX0-7530","b0241(3)","b0241","3","0",1
"309","CPLX0-7532","b0451(3)","b0451","3","0",1
"310","CPLX0-7533","b2215(3)","b2215","3","0",1
"311","CPLX0-7534","b0929(3)","b0929","3","0",1
"312","CPLX0-7535","b4115(2)","b4115","2","0",1
"313","CPLX0-7564","b0029(2)","b0029","2","0",1
"314","CPLX0-761","b2868() AND b2866() AND b2867()","b2866,b2867,b2868","1,1,1","3",3
"315","CPLX0-7614","b2019(2)","b2019","2","0",1
"316","CPLX0-7615","b3126(6)","b3126","6","0",1
"317","CPLX0-7616","b0509(4)","b0509","4","0",1
"318","CPLX0-7622","b4471(2)","b4471","2","0",1
"319","CPLX0-7625","b2291(2)","b2291","2","0",1
"320","CPLX0-7629","b0019(2)","b0019","2","0",1
"321","CPLX0-7630","b0494(4)","b0494","4","0",1
"322","CPLX0-7631","b2802(6)","b2802","6","0",1
"323","CPLX0-7633","b2800(4)","b2800","4","0",1
"324","CPLX0-7641","b3915(2)","b3915","2","0",1
"325","CPLX0-7642","b4111(2)","b4111","2","0",1
"326","CPLX0-7643","b3774(4)","b3774","4","0",1
"327","CPLX0-7647","b3752(2)","b3752","2","0",1
"328","CPLX0-7652","b3903(4)","b3903","4","0",1
"329","CPLX0-7653","b0875(4)","b0875","4","0",1
